State,Model,MAE,RMSE,MAPE,R2,Direction_Acc,AIC,BIC,Note
FL,ARIMAX,1523.6819624326283,2492.5057212287807,,-0.06870165122993033,68.18181818181817,1068.6148340202321,1081.9989950582292,Full model
GA,ARIMAX,3469.5681205210594,4475.176519011194,,-2.103160689120771,59.09090909090909,888.6759691099721,902.0601301479692,Full model
NY,ARIMAX,6174.98762753402,8687.885299306417,,-1.0404664169813587,59.09090909090909,1061.8563303485575,1075.2404913865546,Full model
