date,actual,forecast,error
2022-10-01,4269.0,6005.159149517523,-1736.1591495175226
2022-10-08,14934.0,6057.840017902271,8876.159982097728
2022-10-15,11341.0,5966.996755502765,5374.003244497235
2022-10-22,9337.0,5898.779177898643,3438.220822101357
2022-10-29,7803.0,5850.292252825138,1952.7077471748617
2022-11-05,7412.0,5767.7230804810315,1644.2769195189685
2022-11-12,6110.0,5798.058683234638,311.941316765362
2022-11-19,6534.0,5843.176772502399,690.8232274976008
2022-11-26,4109.0,5795.520654267269,-1686.5206542672686
2022-12-03,6393.0,5769.81882155393,623.1811784460697
2022-12-10,6035.0,5775.4521327299135,259.5478672700865
2022-12-17,5669.0,5723.298126698658,-54.29812669865805
2022-12-24,4579.0,5780.1148503996765,-1201.1148503996765
2022-12-31,4238.0,5773.359971715338,-1535.3599717153384
2023-01-07,7447.0,5749.996407329284,1697.003592670716
2023-01-14,7121.0,5727.143959762093,1393.856040237907
2023-01-21,5557.0,5652.403787049218,-95.40378704921841
2023-01-28,5866.0,5710.1544576539645,155.84554234603547
2023-02-04,6434.0,5673.544938563699,760.4550614363006
2023-02-11,5887.0,5636.3811003427045,250.61889965729551
2023-02-18,5353.0,5601.0343444234095,-248.0343444234095
2023-02-25,5293.0,5630.410240241308,-337.4102402413082
2023-03-04,4865.0,5586.742569920517,-721.7425699205169
