date,actual,forecast,error
2022-10-01,4420.0,5662.398631254643,-1242.398631254643
2022-10-08,4401.0,5509.230626001637,-1108.2306260016367
2022-10-15,3952.0,4859.20933385148,-907.2093338514796
2022-10-22,5253.0,4724.140718420914,528.8592815790862
2022-10-29,5302.0,4287.753771547189,1014.246228452811
2022-11-05,5720.0,3924.5240161194133,1795.4759838805867
2022-11-12,3994.0,3694.760475316585,299.23952468341486
2022-11-19,7711.0,3428.2468073404198,4282.75319265958
2022-11-26,3079.0,3278.708856648911,-199.70885664891102
2022-12-03,10885.0,3138.5055014321024,7746.494498567898
2022-12-10,6612.0,3083.552275776705,3528.447724223295
2022-12-17,5852.0,3059.8020417149237,2792.1979582850763
2022-12-24,4284.0,2936.1438955987505,1347.8561044012495
2022-12-31,6218.0,2741.499273403877,3476.500726596123
2023-01-07,14712.0,2429.7487679386613,12282.251232061339
2023-01-14,9889.0,2291.6033238200434,7597.396676179957
2023-01-21,5968.0,2099.057636750701,3868.942363249299
2023-01-28,8038.0,1991.1955293088076,6046.804470691192
2023-02-04,6575.0,1878.6983028853747,4696.301697114625
2023-02-11,6510.0,1835.2183663107444,4674.781633689256
2023-02-18,5290.0,1821.1814479681789,3468.818552031821
2023-02-25,5072.0,1783.1431891397506,3288.8568108602494
2023-03-04,5372.0,1765.7053349791631,3606.294665020837
