State,Model,MAE,RMSE,R2,MAPE
FL,ARIMAX_Log_Transform,1557.7148104480448,1845.031658744822,-2.921654360886087,
GA,ARIMAX_Log_Transform,2636.3150741937634,3627.1225346623364,-0.7525954718172245,
NY,ARIMAX_Log_Transform,5644.236660695104,8511.325251981187,-0.7831885817022575,
