date,FL_claims,FL_cases,FL_deaths,GA_claims,GA_cases,GA_deaths,NY_claims,NY_cases,NY_deaths
2022-05-28,3698,23332.0,135.0,2815,14331.0,41.0,12968,51635.0,159.0
2022-06-04,5796,115325.0,201.0,4875,15060.0,44.0,12337,52439.0,169.0
2022-06-11,7035,41574.0,219.0,6251,17753.0,48.0,12519,39611.0,148.0
2022-06-18,6500,107184.0,210.0,5630,19315.0,70.0,12432,38087.0,164.0
2022-06-25,6318,41384.0,481.0,4024,18425.0,87.0,12135,35984.0,135.0
2022-07-02,6155,106930.0,314.0,6959,20971.0,132.0,17300,41653.0,127.0
2022-07-09,7267,24321.0,302.0,5100,19989.0,106.0,27351,43177.0,101.0
2022-07-16,7858,121748.0,469.0,8266,26603.0,136.0,20163,52760.0,135.0
2022-07-23,6901,32531.0,436.0,7182,27231.0,112.0,14394,52256.0,162.0
2022-07-30,6140,116921.0,467.0,7297,29524.0,117.0,13411,44379.0,173.0
2022-08-06,5998,22201.0,482.0,6775,27665.0,123.0,13507,49561.0,221.0
2022-08-13,6074,124717.0,512.0,5829,24937.0,146.0,13381,40127.0,203.0
2022-08-20,5809,0.0,458.0,5933,25766.0,153.0,13717,34424.0,157.0
2022-08-27,5366,87082.0,556.0,5080,23423.0,160.0,18347,32288.0,162.0
2022-09-03,5472,180.0,454.0,5403,17923.0,140.0,14685,29483.0,168.0
2022-09-10,5215,65964.0,381.0,4066,12689.0,103.0,11780,24066.0,131.0
2022-09-17,5833,1709.0,374.0,5903,9683.0,150.0,13489,32781.0,191.0
2022-09-24,5472,40419.0,357.0,5104,7353.0,146.0,12085,34788.0,144.0
2022-10-01,4269,0.0,277.0,4420,5046.0,110.0,11750,31930.0,182.0
2022-10-08,14934,22592.0,245.0,4401,4360.0,93.0,15137,29443.0,158.0
2022-10-15,11341,0.0,249.0,3952,3622.0,74.0,12048,27542.0,191.0
2022-10-22,9337,20055.0,266.0,5253,3919.0,104.0,13774,31489.0,408.0
2022-10-29,7803,0.0,0.0,5302,3362.0,74.0,13584,29217.0,597.0
2022-11-05,7412,23157.0,365.0,5720,4069.0,70.0,13976,30701.0,105.0
2022-11-12,6110,0.0,0.0,3994,4702.0,107.0,14297,28952.0,138.0
2022-11-19,6534,23486.0,334.0,7711,3795.0,112.0,16505,31566.0,205.0
2022-11-26,4109,0.0,0.0,3079,4051.0,109.0,15189,21773.0,173.0
2022-12-03,6393,30932.0,326.0,10885,6239.0,46.0,23966,46213.0,247.0
2022-12-10,6035,0.0,0.0,6612,9822.0,102.0,16832,42604.0,233.0
2022-12-17,5669,42553.0,405.0,5852,9891.0,72.0,16517,45269.0,247.0
2022-12-24,4579,0.0,0.0,4284,11387.0,117.0,18596,46538.0,315.0
2022-12-31,4238,25540.0,300.0,6218,10574.0,56.0,21765,38469.0,294.0
2023-01-07,7447,55209.0,270.0,14712,13798.0,103.0,39050,39665.0,290.0
2023-01-14,7121,0.0,0.0,9889,12851.0,128.0,21642,34753.0,322.0
2023-01-21,5557,50242.0,751.0,5968,8324.0,124.0,16685,25584.0,194.0
2023-01-28,5866,0.0,0.0,8038,7690.0,143.0,17634,27251.0,310.0
2023-02-04,6434,39903.0,783.0,6575,8018.0,139.0,17210,25372.0,291.0
2023-02-11,5887,0.0,0.0,6510,6949.0,107.0,16566,16942.0,229.0
2023-02-18,5353,33049.0,584.0,5290,6425.0,84.0,14461,14989.0,181.0
2023-02-25,5293,0.0,0.0,5072,12237.0,87.0,13878,17816.0,125.0
2023-03-04,4865,57684.0,556.0,5372,3905.0,95.0,30122,11485.0,8.0
