State,Model,Outliers_Detected,MAE,RMSE,R2,MAPE
FL,ARIMAX_Outlier_Dummies,2,1409.0953649034552,1678.7631639885728,-2.2466878163153856,
GA,ARIMAX_Outlier_Dummies,4,2946.8454321604654,3915.8526796346646,-1.0427250721485892,
NY,ARIMAX_Outlier_Dummies,6,5654.17369346179,8456.66595165029,-0.7603590291737905,
