Date,claims,Confirmed,Deaths,Recovered,Active
2022-10-01,4420.0,2905400.0,40281.0,,
2022-10-08,4401.0,2909760.0,40374.0,,
2022-10-15,3952.0,2913382.0,40448.0,,
2022-10-22,5253.0,2917301.0,40552.0,,
2022-10-29,5302.0,2920663.0,40626.0,,
2022-11-05,5720.0,2924732.0,40696.0,,
2022-11-12,3994.0,2929434.0,40803.0,,
2022-11-19,7711.0,2933229.0,40915.0,,
2022-11-26,3079.0,2937280.0,41024.0,,
2022-12-03,10885.0,2943519.0,41070.0,,
2022-12-10,6612.0,2953341.0,41172.0,,
2022-12-17,5852.0,2963232.0,41244.0,,
2022-12-24,4284.0,2974619.0,41361.0,,
2022-12-31,6218.0,2985193.0,41417.0,,
2023-01-07,14712.0,2998991.0,41520.0,,
2023-01-14,9889.0,3011842.0,41648.0,,
2023-01-21,5968.0,3020166.0,41772.0,,
2023-01-28,8038.0,3027856.0,41915.0,,
2023-02-04,6575.0,3035874.0,42054.0,,
2023-02-11,6510.0,3042823.0,42161.0,,
2023-02-18,5290.0,3049248.0,42245.0,,
2023-02-25,5072.0,3061485.0,42332.0,,
2023-03-04,5372.0,3065390.0,42427.0,,
