Date,claims,Confirmed,Deaths,Recovered,Active
2022-10-01,4269.0,7150188.0,81416.0,,
2022-10-08,14934.0,7172780.0,81661.0,,
2022-10-15,11341.0,7172780.0,81910.0,,
2022-10-22,9337.0,7192835.0,82176.0,,
2022-10-29,7803.0,7192835.0,82176.0,,
2022-11-05,7412.0,7215992.0,82541.0,,
2022-11-12,6110.0,7215992.0,82541.0,,
2022-11-19,6534.0,7239478.0,82875.0,,
2022-11-26,4109.0,7239478.0,82875.0,,
2022-12-03,6393.0,7270410.0,83201.0,,
2022-12-10,6035.0,7270410.0,83201.0,,
2022-12-17,5669.0,7312963.0,83606.0,,
2022-12-24,4579.0,7312963.0,83606.0,,
2022-12-31,4238.0,7338503.0,83906.0,,
2023-01-07,7447.0,7393712.0,84176.0,,
2023-01-14,7121.0,7393712.0,84176.0,,
2023-01-21,5557.0,7443954.0,84927.0,,
2023-01-28,5866.0,7443954.0,84927.0,,
2023-02-04,6434.0,7483857.0,85710.0,,
2023-02-11,5887.0,7483857.0,85710.0,,
2023-02-18,5353.0,7516906.0,86294.0,,
2023-02-25,5293.0,7516906.0,86294.0,,
2023-03-04,4865.0,7574590.0,86850.0,,
