State,Model,MAE,RMSE,MAPE,R2,Direction_Acc,AIC,BIC,Note
FL,ARIMAX,1350.1461854181048,1633.1860397915502,,-2.072790750188922,60.0,2889.242488754112,2903.6564983670437,Full model
GA,ARIMAX,3375.640720687296,4271.368025419998,,-1.43047531622586,46.666666666666664,2768.254033416324,2782.668043029256,Full model
NY,ARIMAX,5559.299841261325,8397.747777070472,,-0.7359153917021961,73.33333333333333,2859.426684531406,2873.8406941443377,Full model
